title,platform,type,url,price
saving private ryan,AppleTV,rent,https://tv.apple.com/gb/movie/saving-private-ryan/umc.cmc.42f75umn5z16fkpofphe4re85?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A374883182,1.99
saving private ryan,Sky Store,rent,https://www.skystore.com/product/saving-private-ryan/8b1cbfda-6f6b-4beb-aaa9-5f60928c4e1e,3.49
saving private ryan,Windows Store,rent,https://www.microsoft.com/en-gb/p/Saving%20Private%20Ryan/8D6KGWXN0XZ7,2.49
city of god,Sky Store,rent,https://www.skystore.com/product/city-of-god/e4623458-fefc-45d4-b15b-0975d224f1e6,3.49
the green mile,Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.58a3ba5f-f6f9-4b10-9a10-678862b6b668,
the green mile,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.58a3ba5f-f6f9-4b10-9a10-678862b6b668,3.49
the green mile,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/the-green-mile,3.49
the green mile,YouTube,rent,https://www.youtube.com/results?search_query=The+Green+Mile%2Bmovie,3.49
the green mile,AppleTV,rent,https://tv.apple.com/gb/movie/the-green-mile/umc.cmc.7hcm0jk7o0ko95ghs171h7v41?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A675171845,3.49
the green mile,Sky Store,rent,https://www.skystore.com/product/the-green-mile/c137bfd2-a883-48ad-ad06-ab603ea2be4c,3.49
life is beautiful,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.faa9f661-3283-0c27-c3c9-aff1d56cc906,3.49
life is beautiful,Sky Store,rent,https://www.skystore.com/product/life-is-beautiful/69c9b52a-54c2-4f88-8f84-cb7ddb56a428,3.49
terminator 2: judgment day,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.6cb00757-6d31-716c-78e5-6c695392d347,3.49
terminator 2: judgment day,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/terminator-2-judgement-day,3.49
terminator 2: judgment day,YouTube,rent,https://www.youtube.com/results?search_query=Terminator+2%3A+Judgment+Day%2Bmovie,4.49
terminator 2: judgment day,AppleTV,rent,https://tv.apple.com/gb/movie/terminator-2-judgment-day/umc.cmc.1zt8xklrl4a6zim4n4iq2qyp2?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A1292569511,3.49
terminator 2: judgment day,Sky Store,rent,https://www.skystore.com/product/terminator-2-judgment-day/ad9bd53e-9cec-4c96-a92b-83bfb51380ff,3.49
back to the future,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=8f90a40a-f08c-4fdb-9293-d92db91f6474&videoId=A5EK6sKrAaybUGo71BVnj,
back to the future,Now TV,subscription,https://www.nowtv.com/gb/watch/back-to-the-future-1985/A5EK6sKrAaybUGo71BVnj,
back to the future,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.f6a9f675-7a13-b722-23c9-82a4a4794997,3.49
back to the future,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/back-to-the-future,3.49
