rank,title,release_year,duration,rate_type,star_rating,vote_count,transformed_title
77, Oldboy,2003,2h,18,8.3, (684K),oldboy
78, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,A,8.3, (540K),dr. strangelove or: how i learned to stop worrying and love the bomb
79, Das Boot,1981,2h 29m,AA,8.4, (280K),das boot
80, Braveheart,1995,2h 58m,15,8.3, (1.1M),braveheart
81, High and Low,1963,2h 23m,12,8.4, (61K),high and low
82, American Beauty,1999,2h 2m,18,8.3, (1.3M),american beauty
83, Princess Mononoke,1997,2h 13m,PG,8.3, (463K),princess mononoke
84, Your Name.,2016,1h 46m,12A,8.4, (362K),your name.
85, 3 Idiots,2009,2h 50m,12A,8.4, (462K),3 idiots
86, Joker,2019,2h 2m,15,8.3, (1.6M),joker
87, Capernaum,2018,2h 6m,15,8.4, (117K),capernaum
88, Once Upon a Time in America,1984,3h 49m,18,8.3, (397K),once upon a time in america
89, Singin' in the Rain,1952,1h 43m,U,8.3, (274K),singin' in the rain
90, Come and See,1985,2h 22m,15,8.3, (114K),come and see
91, Requiem for a Dream,2000,1h 42m,18,8.3, (944K),requiem for a dream
92, Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,U,8.3, (1.2M),star wars: episode vi - return of the jedi
93, Toy Story 3,2010,1h 43m,U,8.3, (937K),toy story 3
94, Ikiru,1952,2h 23m,A,8.3, (97K),ikiru
95, The Hunt,2012,1h 55m,15,8.3, (391K),the hunt
96, Eternal Sunshine of the Spotless Mind,2004,1h 48m,15,8.3, (1.1M),eternal sunshine of the spotless mind
97, Incendies,2010,2h 11m,15,8.3, (231K),incendies
98, 2001: A Space Odyssey,1968,2h 29m,U,8.3, (757K),2001: a space odyssey
99, The Apartment,1960,2h 5m,A,8.3, (210K),the apartment
100, Reservoir Dogs,1992,1h 39m,18,8.3, (1.1M),reservoir dogs
101, Lawrence of Arabia,1962,3h 47m,PG,8.3, (331K),lawrence of arabia
102, Scarface,1983,2h 50m,18,8.3, (973K),scarface
103, Double Indemnity,1944,1h 47m,A,8.3, (176K),double indemnity
104, Heat,1995,2h 50m,15,8.3, (764K),heat
105, North by Northwest,1959,2h 16m,A,8.3, (362K),north by northwest
106, Up,2009,1h 36m,U,8.3, (1.2M),up
107, Citizen Kane,1941,1h 59m,A,8.3, (484K),citizen kane
108, M,1931,1h 57m,A,8.3, (178K),m
109, The Chaos Class Failed the Class,1975,1h 35m,,8.7, (27K),the chaos class failed the class
110, Full Metal Jacket,1987,1h 56m,18,8.2, (826K),full metal jacket
111, Vertigo,1958,2h 8m,A,8.2, (447K),vertigo
112, Amélie,2001,2h 2m,15,8.3, (821K),amélie
113, Like Stars on Earth,2007,2h 42m,PG,8.3, (220K),like stars on earth
114, A Separation,2011,2h 3m,PG,8.3, (271K),a separation
115, To Kill a Mockingbird,1962,2h 9m,A,8.3, (345K),to kill a mockingbird
116, Die Hard,1988,2h 12m,18,8.2, (994K),die hard
117, A Clockwork Orange,1971,2h 16m,X,8.2, (915K),a clockwork orange
118, Indiana Jones and the Last Crusade,1989,2h 7m,PG,8.2, (842K),indiana jones and the last crusade
119, The Sting,1973,2h 9m,A,8.2, (292K),the sting
120, Oppenheimer,2023,3h,15,8.3, (906K),oppenheimer
121, Metropolis,1927,2h 33m,A,8.3, (196K),metropolis
122, Snatch,2000,1h 44m,18,8.2, (950K),snatch
123, 1917,2019,1h 59m,15,8.2, (734K),1917
124, L.A. Confidential,1997,2h 18m,18,8.2, (644K),l.a. confidential
125, Bicycle Thieves,1948,1h 29m,U,8.2, (187K),bicycle thieves
126, Downfall,2004,2h 36m,15,8.2, (390K),downfall
